TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Treated.managed.CWHvm_FDC_HW_M.PCT,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,4,40,10.0,0.0,10000.0,1.0,1.0,24.916000366210938,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,5,50,10.0,0.0,10000.0,1.0,1.0,51.130001068115234,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,6,60,10.0,0.0,10000.0,1.0,1.0,54.034000396728516,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,7,70,10.0,0.0,10000.0,1.0,1.0,7.183000087738037,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,9,90,10.0,0.0,10000.0,1.0,1.0,26.30500030517578,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,10,100,10.0,0.0,10000.0,1.0,1.0,8.644000053405762,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,11,110,10.0,0.0,10000.0,1.0,1.0,24.916000366210938,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,13,130,10.0,0.0,10000.0,1.0,1.0,35.60900115966797,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,14,140,10.0,0.0,10000.0,1.0,1.0,22.89900016784668,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,15,150,10.0,0.0,10000.0,1.0,1.0,46.65599822998047,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,16,160,10.0,0.0,10000.0,1.0,1.0,7.183000087738037,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,19,190,10.0,0.0,10000.0,1.0,1.0,34.94900131225586,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,20,200,10.0,0.0,10000.0,1.0,1.0,22.513999938964844,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,21,210,10.0,0.0,10000.0,1.0,1.0,38.01100158691406,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,22,220,10.0,0.0,10000.0,1.0,1.0,46.65599822998047,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,23,230,10.0,0.0,10000.0,1.0,1.0,22.89900016784668,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,24,240,10.0,0.0,10000.0,1.0,1.0,7.183000087738037,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,26,260,10.0,0.0,10000.0,1.0,1.0,26.30500030517578,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,28,280,10.0,0.0,10000.0,1.0,1.0,8.644000053405762,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Treated.managed.CWHvm_FDC_HW_M.PCT,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
